speaker,label,vowel,NC,voicing,nas_prop
S17,b__a_nd_@___N_B26/s,a,nd,voiced,0.24365735065255242
S17,b__a_nt_@___N_B12/s,a,nt,voiceless,0.34595142561768
S17,f__I_nt_@___N_B22/s,i,nt,voiceless,0.10662765015710482
S17,l__I_nd_@___N_B10/s,i,nd,voiced,0.27385465398274184
S17,p__E_nt_____N_B22/s,e,nt,voiceless,0.39112045378746996
S17,p__a_nd_a___N_B24/s,a,nd,voiced,0.3648904650384598
S17,p__a_nt_6___N_B25/s,a,nt,voiceless,0.4088715233979959
S17,r__E_nd_6___N_B24/s,e,nd,voiced,0.3943126322000988
S17,r__E_nt_@___N_B11/s,e,nt,voiceless,0.7546468207706004
S17,r__I_nt_____N_B22/s,i,nt,voiceless,0.3573085001851689
S17,r__a_nt_@___N_B25/s,a,nt,voiceless,0.42445844705136976
S17,v__I_nd_@___N_B09/s,i,nd,voiced,0.6699243087192033
S17,v__I_nt_6___N_B12/s,i,nt,voiceless,0.786363440707587
S17,v__a_nt_@___N_B14/s,a,nt,voiceless,0.675977184412439
S17,z__E_nd_@___N_B10/s,e,nd,voiced,0.3807313565446162
S17,z__E_nt_a___N_B09/s,e,nt,voiceless,0.6871600083875119
S17,z__O_nd_@___N_B13/s,o,nd,voiced,0.5109183887518701
S17,z__a_nd_@___N_B25/s,a,nd,voiced,0.429328911075719
S17,z__a_nt_@___N_B10/s,a,nt,voiceless,0.9981613511993872
S18,b__U_nd_@___N_B23/s,u,nd,voiced,0.16036820309143712
S18,b__U_nt_@___N_B22/s,u,nt,voiceless,0.31997171701657773
S18,b__a_nd_@___N_B20/s,a,nd,voiced,0.44662595976864633
S18,b__a_nt_@___N_B21/s,a,nt,voiceless,0.3170025642276495
S18,f__I_nt_@___N_B23/s,i,nt,voiceless,0.5874328008666663
S18,l__I_nd_@___N_B12/s,i,nd,voiced,0.3659121435499884
S18,p__E_nt_____N_B23/s,e,nt,voiceless,0.05845850974895313
S18,p__a_nd_a___N_B22/s,a,nd,voiced,0.08608466482361371
S18,p__a_nt_6___N_B10/s,a,nt,voiceless,0.45484385104898084
S18,r__E_nt_@___N_B08/s,e,nt,voiceless,0.12509569946442556
S18,r__a_nt_@___N_B10/s,a,nt,voiceless,0.1022111764721871
S18,v__I_nd_@___N_B09/s,i,nd,voiced,0.30796368260096374
S18,v__I_nt_6___N_B21/s,i,nt,voiceless,0.29979852387068046
S18,v__a_nt_@___N_B07/s,a,nt,voiceless,0.4092550604060149
S18,z__E_nd_@___N_B12/s,e,nd,voiced,0.732132356349955
